url,title
,
http://pastebin.com/tZYvK7UD,Dogecoin market manipulation?
,
http://dougblack.io/words/a-restful-micro-framework-in-go.html,A RESTful Micro-Framework in Go
,
http://forio.com/julia/repl/,Try Julia
,
http://www.theatlantic.com/technology/archive/2014/01/what-if-your-autonomous-car-keeps-routing-you-past-krispy-kreme/283221/,What If Your Autonomous Car Keeps Routing You Past Krispy Kreme?
,
http://www.sfgate.com/technology/businessinsider/article/Why-This-Mars-Rover-Has-Lasted-3-560-Days-Longer-5173078.php,"Why This Mars Rover Has Lasted 3,560 Days Longer Than Expected"
,
https://github.com/afaqurk/linux-dash,Show HN: Linux server monitoring web dashboard
,
http://www.christies.com/Lotfinder/lot_details.aspx?intObjectID=4205385,A Roman Glass Gaming Die
,
http://aarvik.dk/four-linux-server-monitoring-and-management-tools/,Linux server monitoring tools
,
http://www.wired.co.uk/magazine/archive/2014/01/features/remote-control-aeroplane,Meet the man who flies planes from the ground
,
item?id=7126242,Ask HN: Best big companies to work for?
,
http://venturebeat.com/2014/01/24/twitter-box-dropbox-attracting-hordes-of-employees-away-from-tech-giants/,"Twitter, Box, and Dropbox attracting hordes of employees away from tech giants"
,
http://www.leftlanenews.com/musk-tesla-will-have-a-china-factory.html,Musk: Tesla will have a factory in China
,
http://www.wired.co.uk/news/archive/2014-01/25/bloatware,South Korea bans unremovable mobile bloatware
,
http://blog.archive.org/2014/01/25/tshirt_cushions/,We want your old T-shirts
,
http://www.war-worlds.com/blog/2014/01/advertising-an-android-game-facebook-vs-admob,Advertising an Android game: Facebook vs. AdMob
,
http://www.interfluidity.com/v2/4938.html,“Marriage promotion” is a destructive cargo cult
,
http://www.wired.com/business/2014/01/turns-netflix-going-rule-tv,Netflix Is Going to Rule TV After All
,
http://techland.time.com/2014/01/25/steve-jobs-mac/,"Apple's First Public Demonstration of the Mac, Unseen Since 1984 [video]"
,
http://math.stackexchange.com/questions/651823/is-there-a-mathematical-reason-why-chocolate-chip-cookies-have-37-1-e-chocola,Why do chocolate chip cookies have 37% (1/e) chocolate in them?
,
http://www.washingtonpost.com/blogs/the-switch/wp/2014/01/25/what-the-humble-loom-can-teach-us-about-robots-and-automation/,Will robots steal our jobs? The humble loom suggests not
,
http://www.theatlantic.com/health/archive/2014/01/study-believing-you-ve-slept-well-even-if-you-haven-t-improves-performance/283305/,"Study: Believing You’ve Slept Well, Even if You Haven’t, Improves Performance"
,
http://thoreau.eserver.org/life1.html,You are paid for being something less than a man
,
item?id=7125942,Come hack on analytics at Mixpanel (YC S09)
,
item?id=7126036,Poll: Do you actually use the product you are working on?
,
http://zyalt.livejournal.com/984735.html,Revolution in Kiev
,
item?id=7125887,Ask HN: How to learn OpenCL
,
http://www.tonymacx86.com/mac-pro-mods/120757-mac-pro-late-2013-replica.html,Mac Pro (late 2013) replica inside a real trashcan
,
http://www.avc.com/a_vc/2014/01/this-for-that.html,This For That 
,
http://teapotnet.org/,Teapotnet – Private social network for file sharing and streaming
,
http://zulko.github.io/blog/2014/01/23/making-animated-gifs-from-video-files-with-python/#,Making GIFs From Video Files With Python
news2,More
